model,strategy,batch_size,mtp,chip_k,chip_n,die_k,die_n,pu_k,pu_n,up_pu_B,up_pu_M,up_pu_K,up_pu_N,down_pu_K,down_pu_N,die_weight_bytes,fabric_ns,noc_input_ns,noc_output_ns,total_ns,collective_count,stages_json,selected,selection_reason
deepseek-v3,tp,8192,off,16,1,1,4,2,8,256,256,224,128,64,224,176160768,82946,261888,398336,743170,10,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":29360128,""critical_bytes"":29360128.0,""participants"":2,""parallel_links"":1,""duration_ns"":114688},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":1,""duration_ns"":262144},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":67108864,""critical_bytes"":125829120.0,""participants"":16,""parallel_links"":1,""duration_ns"":78644},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":33554432,""critical_bytes"":33554432.0,""participants"":2,""parallel_links"":1,""duration_ns"":131072},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":29360128,""critical_bytes"":29360128.0,""participants"":8,""parallel_links"":1,""duration_ns"":114688},{""stage"":""tokens256.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":29360128,""critical_bytes"":22020096.0,""participants"":4,""parallel_links"":4,""duration_ns"":21504},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,1,4,4,4,256,256,112,256,128,112,176160768,82946,261888,398336,743170,10,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":29360128,""critical_bytes"":29360128.0,""participants"":2,""parallel_links"":1,""duration_ns"":114688},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":4,""parallel_links"":1,""duration_ns"":262144},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":67108864,""critical_bytes"":125829120.0,""participants"":16,""parallel_links"":1,""duration_ns"":78644},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":33554432,""critical_bytes"":33554432.0,""participants"":4,""parallel_links"":1,""duration_ns"":131072},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":29360128,""critical_bytes"":29360128.0,""participants"":4,""parallel_links"":1,""duration_ns"":114688},{""stage"":""tokens256.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":29360128,""critical_bytes"":22020096.0,""participants"":4,""parallel_links"":4,""duration_ns"":21504},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,1,4,8,2,256,256,56,512,256,56,176160768,82946,261888,398336,743170,10,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":29360128,""critical_bytes"":29360128.0,""participants"":2,""parallel_links"":1,""duration_ns"":114688},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":8,""parallel_links"":1,""duration_ns"":262144},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":67108864,""critical_bytes"":125829120.0,""participants"":16,""parallel_links"":1,""duration_ns"":78644},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":33554432,""critical_bytes"":33554432.0,""participants"":8,""parallel_links"":1,""duration_ns"":131072},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":29360128,""critical_bytes"":29360128.0,""participants"":2,""parallel_links"":1,""duration_ns"":114688},{""stage"":""tokens256.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":29360128,""critical_bytes"":22020096.0,""participants"":4,""parallel_links"":4,""duration_ns"":21504},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,1,4,16,1,256,256,28,1024,512,28,176160768,82946,261888,398336,743170,10,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":29360128,""critical_bytes"":29360128.0,""participants"":2,""parallel_links"":1,""duration_ns"":114688},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":16,""parallel_links"":1,""duration_ns"":262144},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":67108864,""critical_bytes"":125829120.0,""participants"":16,""parallel_links"":1,""duration_ns"":78644},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":33554432,""critical_bytes"":33554432.0,""participants"":16,""parallel_links"":1,""duration_ns"":131072},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":29360128,""critical_bytes"":29360128.0,""participants"":2,""parallel_links"":1,""duration_ns"":114688},{""stage"":""tokens256.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":29360128,""critical_bytes"":22020096.0,""participants"":4,""parallel_links"":4,""duration_ns"":21504},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,2,2,1,16,256,256,224,128,64,224,176160768,161589,401152,654336,1217077,12,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":16,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":134217728.0,""participants"":2,""parallel_links"":1,""duration_ns"":524288},{""stage"":""tokens256.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":134217728,""critical_bytes"":251658240.0,""participants"":16,""parallel_links"":1,""duration_ns"":157287},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":1,""duration_ns"":262144},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":16,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":7340032.0,""participants"":2,""parallel_links"":4,""duration_ns"":7168},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,2,2,2,8,256,256,112,256,128,112,176160768,161589,401152,654336,1217077,12,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":2,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":134217728.0,""participants"":2,""parallel_links"":1,""duration_ns"":524288},{""stage"":""tokens256.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":134217728,""critical_bytes"":251658240.0,""participants"":16,""parallel_links"":1,""duration_ns"":157287},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":1,""duration_ns"":262144},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":8,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":7340032.0,""participants"":2,""parallel_links"":4,""duration_ns"":7168},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,2,2,4,4,256,256,56,512,256,56,176160768,161589,401152,654336,1217077,12,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":2,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":134217728.0,""participants"":4,""parallel_links"":1,""duration_ns"":524288},{""stage"":""tokens256.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":134217728,""critical_bytes"":251658240.0,""participants"":16,""parallel_links"":1,""duration_ns"":157287},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":4,""parallel_links"":1,""duration_ns"":262144},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":4,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":7340032.0,""participants"":2,""parallel_links"":4,""duration_ns"":7168},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,2,2,8,2,256,256,28,1024,512,28,176160768,161589,401152,654336,1217077,12,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":2,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":134217728.0,""participants"":8,""parallel_links"":1,""duration_ns"":524288},{""stage"":""tokens256.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":134217728,""critical_bytes"":251658240.0,""participants"":16,""parallel_links"":1,""duration_ns"":157287},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":8,""parallel_links"":1,""duration_ns"":262144},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":2,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":7340032.0,""participants"":2,""parallel_links"":4,""duration_ns"":7168},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,2,2,16,1,256,256,14,2048,1024,14,176160768,161589,401152,654336,1217077,12,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":2,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":134217728.0,""participants"":16,""parallel_links"":1,""duration_ns"":524288},{""stage"":""tokens256.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":134217728,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":2,""parallel_links"":4,""duration_ns"":65536},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":134217728,""critical_bytes"":251658240.0,""participants"":16,""parallel_links"":1,""duration_ns"":157287},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":67108864.0,""participants"":16,""parallel_links"":1,""duration_ns"":262144},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":14680064.0,""participants"":2,""parallel_links"":1,""duration_ns"":57344},{""stage"":""tokens256.down_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":14680064,""critical_bytes"":7340032.0,""participants"":2,""parallel_links"":4,""duration_ns"":7168},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,4,1,1,16,256,256,112,256,128,112,176160768,318875,765696,1273856,2358427,11,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":7340032,""critical_bytes"":7340032.0,""participants"":16,""parallel_links"":1,""duration_ns"":28672},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":268435456,""critical_bytes"":268435456.0,""participants"":2,""parallel_links"":1,""duration_ns"":1048576},{""stage"":""tokens256.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":268435456,""critical_bytes"":201326592.0,""participants"":4,""parallel_links"":4,""duration_ns"":196608},{""stage"":""tokens256.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":201326592.0,""participants"":4,""parallel_links"":4,""duration_ns"":196608},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":268435456,""critical_bytes"":503316480.0,""participants"":16,""parallel_links"":1,""duration_ns"":314573},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":134217728,""critical_bytes"":134217728.0,""participants"":2,""parallel_links"":1,""duration_ns"":524288},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":7340032,""critical_bytes"":7340032.0,""participants"":16,""parallel_links"":1,""duration_ns"":28672},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,4,1,2,8,256,256,56,512,256,56,176160768,318875,765696,1273856,2358427,11,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":7340032,""critical_bytes"":7340032.0,""participants"":2,""parallel_links"":1,""duration_ns"":28672},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":268435456,""critical_bytes"":268435456.0,""participants"":2,""parallel_links"":1,""duration_ns"":1048576},{""stage"":""tokens256.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":268435456,""critical_bytes"":201326592.0,""participants"":4,""parallel_links"":4,""duration_ns"":196608},{""stage"":""tokens256.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":201326592.0,""participants"":4,""parallel_links"":4,""duration_ns"":196608},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":268435456,""critical_bytes"":503316480.0,""participants"":16,""parallel_links"":1,""duration_ns"":314573},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":134217728,""critical_bytes"":134217728.0,""participants"":2,""parallel_links"":1,""duration_ns"":524288},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":7340032,""critical_bytes"":7340032.0,""participants"":8,""parallel_links"":1,""duration_ns"":28672},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,4,1,4,4,256,256,28,1024,512,28,176160768,318875,765696,1273856,2358427,11,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":7340032,""critical_bytes"":7340032.0,""participants"":2,""parallel_links"":1,""duration_ns"":28672},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":268435456,""critical_bytes"":268435456.0,""participants"":4,""parallel_links"":1,""duration_ns"":1048576},{""stage"":""tokens256.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":268435456,""critical_bytes"":201326592.0,""participants"":4,""parallel_links"":4,""duration_ns"":196608},{""stage"":""tokens256.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":201326592.0,""participants"":4,""parallel_links"":4,""duration_ns"":196608},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":268435456,""critical_bytes"":503316480.0,""participants"":16,""parallel_links"":1,""duration_ns"":314573},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":134217728,""critical_bytes"":134217728.0,""participants"":4,""parallel_links"":1,""duration_ns"":524288},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":7340032,""critical_bytes"":7340032.0,""participants"":4,""parallel_links"":1,""duration_ns"":28672},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
deepseek-v3,tp,8192,off,16,1,4,1,8,2,256,256,14,2048,1024,14,176160768,318875,765696,1273856,2358427,11,"[{""stage"":""entry_16chip_alltoall"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""tokens256.up_input"",""direction"":""noc_input"",""size_bytes"":7340032,""critical_bytes"":7340032.0,""participants"":2,""parallel_links"":1,""duration_ns"":28672},{""stage"":""tokens256.up_output"",""direction"":""noc_output"",""size_bytes"":268435456,""critical_bytes"":268435456.0,""participants"":8,""parallel_links"":1,""duration_ns"":1048576},{""stage"":""tokens256.up_die_reduce_scatter"",""direction"":""noc_output"",""size_bytes"":268435456,""critical_bytes"":201326592.0,""participants"":4,""parallel_links"":4,""duration_ns"":196608},{""stage"":""tokens256.up_die_allgather"",""direction"":""noc_input"",""size_bytes"":67108864,""critical_bytes"":201326592.0,""participants"":4,""parallel_links"":4,""duration_ns"":196608},{""stage"":""tokens256.up_chip_allreduce"",""direction"":""fabric"",""size_bytes"":268435456,""critical_bytes"":503316480.0,""participants"":16,""parallel_links"":1,""duration_ns"":314573},{""stage"":""tokens256.down_input"",""direction"":""noc_input"",""size_bytes"":134217728,""critical_bytes"":134217728.0,""participants"":8,""parallel_links"":1,""duration_ns"":524288},{""stage"":""tokens256.down_output"",""direction"":""noc_output"",""size_bytes"":7340032,""critical_bytes"":7340032.0,""participants"":2,""parallel_links"":1,""duration_ns"":28672},{""stage"":""exit_chip_hidden_exchange"",""direction"":""fabric"",""size_bytes"":229376,""critical_bytes"":3440640.0,""participants"":16,""parallel_links"":1,""duration_ns"":2151},{""stage"":""exit_die_distribute"",""direction"":""noc_input"",""size_bytes"":3440640,""critical_bytes"":3440640.0,""participants"":2,""parallel_links"":1,""duration_ns"":13440},{""stage"":""final_die_allgather"",""direction"":""noc_input"",""size_bytes"":917504,""critical_bytes"":2752512.0,""participants"":4,""parallel_links"":4,""duration_ns"":2688}]",False,alternative candidate
